,[] -  / Time ,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
10,TACROLIMUS ORAL PER 5 MG (J7508) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TACROLIMUS ORAL PER 5 MG (J7508) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,$0.00 ,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,,,,,,,,,,,,,
12,TAKHZYRO (J3590T) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,313,816,924,933,"1,054","1,823","1,518","2,227","1,554","1,683","2,468","2,057","2,092","2,730","2,142","2,748","2,253","1,684"
13,TAKHZYRO (J3590T) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,212,704.00 ","$7,214,337.00 ","$18,807,984.00 ","$21,297,276.00 ","$21,504,717.00 ","$24,293,646.00 ","$42,018,327.00 ","$34,988,382.00 ","$51,330,123.00 ","$35,818,146.00 ","$38,791,467.00 ","$56,884,932.00 ","$47,411,793.00 ","$48,218,508.00 ","$62,923,770.00 ","$49,370,958.00 ","$63,338,652.00 ","$51,929,397.00 ","$38,814,516.00 "
14,TAXOTERE (J9171) - Dose Units ,,,,,,,,,,,,,"12,946","12,537","16,350","11,572","13,723","10,057","8,077","11,033","9,673","9,833","11,891","11,403","16,075","12,419","12,326","10,902","13,488","9,964","11,535","15,072","11,812","13,489","9,502","6,096","7,140","8,421","8,617","8,288","10,518","5,807","5,660","4,948","4,539","4,749","4,329","4,011","5,555","3,932","3,179","5,238","4,724","3,813","5,845","6,400","8,247","6,242","5,622","7,100","2,625","4,855","6,347","4,486","4,738","5,304","4,790","4,394","4,380","3,761","3,945","3,008","2,995","4,078","4,327","3,365","3,126","3,021","1,662","2,150","2,599","3,127","4,010","2,758","1,979","2,519","2,875","2,281","2,625","1,741","1,622","2,229","1,887","2,071","2,744","2,929","4,513","3,219","1,848"
15,TAXOTERE (J9171) - Dose USD ,,,,,,,,,,,,,"$25,027,336.66 ","$24,236,653.77 ","$31,607,983.50 ","$22,371,106.12 ","$26,529,440.83 ","$19,442,292.97 ","$15,614,537.17 ","$21,329,105.93 ","$18,699,940.33 ","$19,009,253.93 ","$22,987,800.11 ","$22,044,393.63 ","$31,076,350.75 ","$24,008,534.99 ","$23,828,746.46 ","$21,075,855.42 ","$26,075,136.48 ","$19,262,504.44 ","$22,299,577.35 ","$29,137,341.12 ","$22,835,076.52 ","$26,077,069.69 ","$18,369,361.42 ","$11,784,848.16 ","$13,803,119.40 ","$16,279,561.41 ","$16,658,470.57 ","$16,022,444.48 ","$20,333,502.78 ","$11,226,150.47 ","$10,941,968.60 ","$9,565,523.08 ","$8,774,840.19 ","$9,180,814.29 ","$8,368,866.09 ","$7,754,105.31 ","$10,738,981.55 ","$7,601,381.72 ","$6,145,674.59 ","$10,126,153.98 ","$9,132,484.04 ","$7,371,329.73 ","$11,299,612.45 ","$12,372,544.00 ","$15,943,182.87 ","$12,067,096.82 ","$10,868,506.62 ","$13,725,791.00 ","$5,074,676.25 ","$9,385,734.55 ","$12,270,083.87 ","$8,672,380.06 ","$9,159,548.98 ","$10,253,745.84 ","$9,260,075.90 ","$8,494,524.74 ","$8,467,459.80 ","$7,270,802.81 ","$7,626,513.45 ","$5,815,095.68 ","$9,023,538.16 ","$12,262,280.52 ","$13,230,650.59 ","$10,266,059.78 ","$9,398,326.82 ","$8,936,269.05 ","$4,828,928.54 ","$6,134,323.89 ","$7,093,626.13 ","$8,394,212.61 ","$11,020,538.64 ","$7,740,505.99 ","$5,675,049.67 ","$7,345,378.81 ","$9,330,070.46 ","$7,838,382.55 ","$8,704,735.99 ","$5,370,758.50 ","$4,661,425.25 ","$5,723,915.97 ","$4,015,762.44 ","$3,672,436.99 ","$4,419,886.75 ","$4,428,882.32 ","$6,669,220.69 ","$4,805,162.25 ","$2,815,181.48 "
16,TD_ORAL (G2490) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,940,"2,108","3,154","2,941","3,776","3,528","3,230","4,268","3,915","3,826","4,326","4,670","5,044","6,432","4,736","6,714","4,750","6,332","6,986","4,489","5,491","5,499","6,930",,,,,,,,,,,,
17,TD_ORAL (G2490) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,782,780.00 ","$5,876,880.00 ","$13,179,216.00 ","$19,718,808.00 ","$18,387,132.00 ","$23,607,552.00 ","$22,057,056.00 ","$20,193,960.00 ","$26,683,536.00 ","$24,476,580.00 ","$23,920,152.00 ","$27,046,152.00 ","$29,196,840.00 ","$31,535,088.00 ","$40,212,864.00 ","$29,609,472.00 ","$41,975,928.00 ","$29,697,000.00 ","$39,587,664.00 ","$43,676,472.00 ","$28,065,228.00 ","$34,329,732.00 ","$34,379,748.00 ","$43,326,360.00 ",,,,,,,,,,,,
18,TECENTRIQ (J9999T) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,84,957,"1,173","1,758","1,801","1,770","2,748","2,131","2,190","2,876","2,397","2,604","3,369","2,798","2,959","3,670","2,949","3,005","4,114","3,331","3,371","4,226","3,345","3,518","4,625","3,574","4,373","3,539","3,578","4,795","3,948","3,858","3,913","4,735","4,169","5,925","4,665","4,688","6,001","5,501","6,057","7,675","5,876","8,054","7,285","4,925"
19,TECENTRIQ (J9999T) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,962,750.00 ","$22,567,500.00 ","$35,037,000.00 ","$27,170,250.00 ","$27,922,500.00 ","$36,669,000.00 ","$30,561,750.00 ","$33,201,000.00 ","$42,954,750.00 ","$35,674,500.00 ","$37,727,250.00 ","$46,792,500.00 ","$37,599,750.00 ","$38,313,750.00 ","$52,453,500.00 ","$42,470,250.00 ","$42,980,250.00 ","$53,881,500.00 ","$42,648,750.00 ","$44,854,500.00 ","$58,968,750.00 ","$45,568,500.00 ","$55,755,750.00 ","$45,122,250.00 ","$45,619,500.00 ","$61,136,250.00 ","$50,337,000.00 ","$49,189,500.00 ","$49,890,750.00 ","$60,371,250.00 ","$53,154,750.00 ","$75,543,750.00 ","$59,478,750.00 ","$59,772,000.00 ","$76,512,750.00 ","$70,137,750.00 ","$77,226,750.00 ","$97,856,250.00 ","$74,919,000.00 ","$102,688,500.00 ","$92,883,750.00 ","$62,793,750.00 "
20,TEFLARO (J0712) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TEFLARO (J0712) - Dose USD ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,$0.00 ,$0.00 ,,,,,$0.00 ,$0.00 ,,,,,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,,,,$0.00 ,$0.00 ,$0.00 ,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 
22,TEGSEDI (T3490E85) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,38,62,60,72,60,125,150,116,178,96,139,182,126,202,140,99
23,TEGSEDI (T3490E85) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$692,300.00 ","$1,315,370.00 ","$2,146,130.00 ","$2,076,900.00 ","$2,492,280.00 ","$2,076,900.00 ","$4,326,875.00 ","$5,192,250.00 ","$4,015,340.00 ","$6,161,470.00 ","$3,323,040.00 ","$4,811,485.00 ","$6,299,930.00 ","$4,361,490.00 ","$6,992,230.00 ","$4,846,100.00 ","$3,426,885.00 "
24,TEMODAR (J8700) - Dose Units ,"25,526",,"25,526",,"40,789","8,158",,,,,"112,915",,,,,"2,449","7,347","1,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TEMODAR (J8700) - Dose USD ,"$63,996,696.96 ",,"$63,996,696.96 ",,"$89,483,919.82 ","$14,346,436.89 ",,,,,"$104,040,009.07 ",,,,$0.00 ,"$19,276,196.02 ","$67,157,098.95 ","$14,865,885.27 ",$0.00 ,$0.00 ,$0.00 ,,,,,,,,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,,,,,,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,,,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,
26,TEMODAR IV (J9328) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TEMODAR IV (J9328) - Dose USD ,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,$0.00 ,$0.00 ,,,,,,,,,,,,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,TERBUTALINE SULF COMP CON (J7680) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TERBUTALINE SULF COMP CON (J7680) - Dose USD ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TERBUTALINE SULFATE INJ (J3105) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TERBUTALINE SULFATE INJ (J3105) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
32,TERIPARATIDE INJECTION (J3110) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TERIPARATIDE INJECTION (J3110) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,$0.00 ,,$0.00 ,,$0.00 ,,,,,,,,,,,,$0.00 ,,,,,$0.00 ,,,,,,,,,,,
34,TESTOSTERON PROPIONATE INJ (J3150) - Dose Units ,"2,598","3,219","2,914","1,252","1,979","2,414","2,097","3,272","2,296","2,599","3,285","2,771","2,006","2,334","3,299","2,387","3,101","3,008","2,665","3,997","3,404","3,193","3,958","3,470","3,627","2,836","2,598","2,995","3,469","2,678","3,958","3,734","2,718","4,050","4,539","2,863","2,374",606,684,289,196,78,157,170,,394,567,473,447,448,,,,39,39,39,,,,,,,39,39,78,,,,,39,,39,,,39,,,,,,,,,,,,,,,,,,,,,,,,
35,TESTOSTERON PROPIONATE INJ (J3150) - Dose USD ,"$88,715.21 ","$111,256.69 ","$101,861.78 ","$46,518.06 ","$74,786.41 ","$94,329.46 ","$81,997.94 ","$130,690.22 ","$95,347.14 ","$105,987.22 ","$131,058.36 ","$106,655.79 ","$76,624.19 ","$90,366.65 ","$128,383.88 ","$95,557.58 ","$128,728.71 ","$131,148.80 ","$120,971.01 ","$186,404.09 ","$160,379.46 ","$153,431.63 ","$199,031.99 ","$177,750.75 ","$180,733.41 ","$137,879.23 ","$126,704.46 ","$142,524.56 ","$156,111.94 ","$117,985.99 ","$174,607.17 ","$168,836.54 ","$127,392.66 ","$191,176.20 ","$216,510.30 ","$142,155.11 ","$125,351.95 ","$34,852.58 ","$39,524.94 ","$17,819.74 ","$12,770.87 ","$5,167.89 ","$10,013.98 ","$9,678.66 ",,"$18,635.22 ","$23,916.06 ","$18,237.70 ","$16,832.90 ","$17,194.24 ",,,,"$1,508.13 ","$1,372.80 ","$1,326.00 ",,,,,,,"$3,315.00 ","$3,315.00 ","$6,630.00 ",,,,,"$2,486.25 ",,"$1,657.50 ",,,"$2,210.13 ",,,,,,,,,,,,,,,,,,,,,,,,
36,TESTOSTERONE CYPIONAT 100 MG (J1070) - Dose Units ,"39,836","32,972","36,970","25,052","30,858","41,841","38,964","50,975","45,380","46,119","63,977","54,380","47,847","51,121","71,660","55,583","74,432","62,474","60,045","83,118","68,176","55,333","73,245","62,276","76,545","64,705","60,072","57,629","76,505","60,653","77,086","91,936","67,001","80,070","88,213","50,555","23,032","7,061","3,126","1,952","4,513","2,508","2,243","1,819","2,163","2,387","1,081","1,728","1,819",976,"1,661","1,450",658,486,486,790,"1,793",778,276,842,447,276,434,435,157,355,158,196,275,236,237,118,117,488,514,447,579,236,315,354,315,354,315,275,157,197,276,197,315,408,118,117,157,277,118,157,118,158,197
37,TESTOSTERONE CYPIONAT 100 MG (J1070) - Dose USD ,"$1,238,899.60 ","$1,044,140.81 ","$1,190,755.64 ","$851,337.11 ","$1,053,711.21 ","$1,417,849.23 ","$1,319,321.04 ","$1,769,469.69 ","$1,627,054.52 ","$1,663,586.12 ","$2,344,206.85 ","$2,054,084.86 ","$1,860,688.49 ","$1,983,152.29 ","$2,744,434.68 ","$2,118,601.63 ","$2,833,194.53 ","$2,396,034.09 ","$2,304,527.10 ","$3,156,987.88 ","$2,561,372.32 ","$2,023,389.48 ","$2,580,274.86 ","$2,079,862.71 ","$2,399,685.75 ","$1,950,693.99 ","$1,783,387.50 ","$1,675,707.25 ","$2,189,114.07 ","$1,707,533.58 ","$2,146,652.39 ","$2,542,030.40 ","$1,832,309.85 ","$2,201,284.44 ","$2,467,317.61 ","$1,489,729.46 ","$714,130.19 ","$217,884.81 ","$118,834.89 ","$77,718.88 ","$184,130.40 ","$113,900.82 ","$152,932.23 ","$142,705.10 ","$166,902.49 ","$179,001.13 ","$81,618.20 ","$132,088.32 ","$124,630.60 ","$66,021.52 ","$107,707.55 ","$95,305.60 ","$45,393.18 ","$51,237.77 ","$63,872.55 ","$97,013.98 ","$222,120.43 ","$98,634.84 ","$34,359.24 ","$84,688.36 ","$20,822.38 ","$12,779.71 ","$18,313.93 ","$148,116.02 ","$80,006.67 ","$180,509.19 ","$84,361.73 ","$104,826.01 ","$155,327.56 ","$71,815.39 ","$35,586.33 ","$18,251.65 ","$12,554.87 ","$61,447.30 ","$63,810.53 ","$54,509.42 ","$41,085.84 ","$10,178.09 ","$13,173.30 ","$11,458.10 ","$9,357.08 ","$10,097.85 ","$9,253.91 ","$8,365.50 ","$4,985.79 ","$5,953.34 ","$37,273.80 ","$29,356.94 ","$51,246.28 ","$66,839.91 ","$18,730.14 ","$19,749.99 ","$3,871.62 ","$10,100.81 ","$6,022.72 ","$8,174.99 ","$5,327.70 ","$6,490.64 ","$6,905.50 "
